,Unnamed: 0,name,lat,lon
11,15,"Thermalito Trail, Pleasanton, Alameda County, California, 94586, USA",37.620790358632185,-121.89830826772312
12,16,"Scotts Corner, Alameda County, California, 94586, USA",37.56407643035863,-121.84159433944951
13,17,"Geary Road, Alameda County, California, USA",37.50736250208506,-121.78488041117598
14,24,"1045, Madsen Court, Shadow Cliffs, Pleasanton, Alameda County, California, 94588, USA",37.67750428690575,-121.86411310508757
15,25,"Vallecitos Road, Alameda County, California, USA",37.620790358632185,-121.807399176814
16,26,"Alameda County, California, USA",37.56407643035863,-121.75068524854044
17,27,"Alameda County, California, USA",37.50736250208506,-121.69397132026688
18,33,"Doolan Road, Livermore, Alameda County, California, 94568, USA",37.73421821517931,-121.82991794245207
19,34,"1747, 4th Street, The Meadows, Livermore, Alameda County, California, 94550, USA",37.67750428690575,-121.77320401417849
20,35,"Alameda County, California, CA 94550, USA",37.620790358632185,-121.71649008590492
21,36,"Mendenhall Springs, Alameda County, California, USA",37.56407643035863,-121.65977615763136
22,37,"Alameda County, California, USA",37.50736250208506,-121.60306222935779
23,43,"Livermore Gun Club, Raymond Road, Saddleback, Ulmar, Alameda County, California, CA 94551, USA",37.73421821517931,-121.73900885154295
24,44,"Alameda County, California, USA",37.67750428690575,-121.68229492326941
25,45,"Mendenhall Springs, Alameda County, California, USA",37.620790358632185,-121.62558099499584
26,46,"Alameda County, California, USA",37.56407643035863,-121.56886706672226
27,47,"Alameda County, California, USA",37.50736250208506,-121.51215313844871
28,53,"Altamont, Alameda County, California, USA",37.73421821517931,-121.64809976063385
29,54,"Alameda County, California, USA",37.67750428690575,-121.5913858323603
30,62,"Christensen Road, Alameda County, California, USA",37.79093214345289,-121.61390459799831
