,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID
81858,USC00048014,34.5894,-118.4547,636.7,CA,SAUGUS PWR PLT 1,,,
81859,USC00048025,41.3011,-123.1331,661.1,CA,SAWYERS BAR RS,,,
81860,USC00048045,40.4833,-124.1039,41.5,CA,SCOTIA,,,
81861,USC00048068,37.4,-122.2333,107.0,CA,SEARSVILLE LAKE,,,
81862,USC00048072,38.4086,-122.8211,20.7,CA,SEBASTOPOL,,,
81863,USC00048074,40.5,-120.2667,1353.9,CA,SECRET VALLEY,,,
81864,USC00048075,40.6667,-120.25,1421.0,CA,SECRET VALLEY M S,,,
81865,USC00048092,34.1661,-118.4736,207.3,CA,SEPULVEDA DAM,,,
81866,USC00048099,39.4167,-121.4667,192.0,CA,OROVILLE 7 SE,,,
81867,USC00048105,34.1833,-116.95,1549.0,CA,SEVEN OAKS,,,
81868,USC00048119,33.9167,-117.9,110.0,CA,SHAFFER TOOL WORKS BRE,,,
81869,USC00048122,35.4867,-119.1458,123.1,CA,SHAFTER 6E,,,
81870,USC00048135,40.7142,-122.4161,327.7,CA,SHASTA DAM,,,
81871,USC00048158,33.95,-117.9,207.0,CA,SHELL ABSORPTION PLT,,,
81872,USC00048162,40.0333,-124.0667,33.5,CA,SHELTER COVE,,,
81873,USC00048163,40.0331,-124.0728,75.0,CA,SHELTER COVE AVIATION,,,
81874,USC00048173,38.6667,-120.9167,420.9,CA,SHINGLE SPRINGS,,,
81875,USC00048175,40.5,-121.85,1083.9,CA,SHINGLETOWN 2 E,,,
81876,USC00048200,35.9717,-116.2708,471.2,CA,SHOSHONE,,,
81877,USC00048207,39.5678,-120.6228,1292.4,CA,SIERRA CITY,,,
81878,USC00048210,34.1667,-118.05,345.0,CA,SIERRA MADRE HENSZEY,,,
81879,USC00048213,34.2,-117.6667,915.0,CA,SIERRA PH,,,
81880,USC00048218,39.5833,-120.3706,1516.4,CA,SIERRAVILLE RS,,,
81881,USC00048230,33.7967,-118.1683,33.5,CA,SIGNAL HILL FC 415,,,
81882,USC00048243,33.7425,-117.66,333.8,CA,SILVERADO RS,,,
81883,USC00048265,34.8333,-120.1667,182.9,CA,SISQUOC RANCH,,,
81884,USC00048266,34.7667,-119.7667,762.9,CA,SISQUOC SOUTH FORK CAM,,,
81885,USC00048272,38.6833,-123.1333,588.9,CA,SKAGGS SPGS LAS LOMAS,,,
81886,USC00048273,37.3133,-122.185,691.9,CA,SKYLINE RIDGE PRESERVE,,,
81887,USC00048277,36.0667,-120.65,595.0,CA,SLACK CREEK,,,
81888,USC00048290,34.3,-118.1167,1068.0,CA,SLEEPY HOLLOW COLBY RC,,,
81889,USC00048292,39.8667,-120.7333,1257.0,CA,SLOAT,,,
81890,USC00048293,38.4667,-121.0833,49.1,CA,SLOUGHHOUSE 6 SE,,,
81891,USC00048311,41.95,-124.2,9.1,CA,SMITH RIVER 3 WNW,,,
81892,USC00048315,33.8833,-116.6833,390.1,CA,SNOW CREEK,,,
81893,USC00048317,33.8725,-116.6797,591.3,CA,SNOW CREEK UPPER,,,
81894,USC00048320,39.3167,-120.3667,2101.0,CA,SNOW LAB CNTRL SIERRAS,,,
81895,USC00048331,39.3167,-120.3833,2058.9,CA,SODA SPRINGS,,,
81896,USC00048332,39.3256,-120.3672,2098.5,CA,SODA SPRINGS 1 E,,,
81897,USC00048338,36.4333,-121.3167,64.0,CA,SOLEDAD,,,
81898,USC00048346,41.3833,-123.4833,159.1,CA,SOMESBAR 1 W,,,
81899,USC00048348,34.2833,-118.9667,149.0,CA,SOMIS 3 NE,,,
81900,USC00048349,34.2833,-119.05,153.0,CA,SOMIS 3 NW,,,
81901,USC00048351,38.2994,-122.4622,29.6,CA,SONOMA,,,
81902,USC00048353,37.9672,-120.3872,510.5,CA,SONORA,,,
81903,USC00048376,37.7,-123.0,14.0,CA,S E FARALLON,,,
