YearMonth,temp_bins,0
198312,50-59F,17
198312,60-69F,14
198312,70-79F,0
198312,80-89F,0
198312,90-99F,0
198312,>100F,0
198401,40-49F,0
198401,50-59F,16
198401,60-69F,10
198401,70-79F,5
198401,80-89F,0
198401,90-99F,0
198401,>100F,0
198402,40-49F,0
198402,50-59F,10
198402,60-69F,18
198402,70-79F,1
198402,80-89F,0
198402,90-99F,0
198402,>100F,0
198403,40-49F,0
198403,50-59F,1
198403,60-69F,22
198403,70-79F,8
198403,80-89F,0
198403,90-99F,0
198403,>100F,0
198404,40-49F,0
198404,50-59F,1
198404,60-69F,25
198404,70-79F,3
198404,80-89F,1
198404,90-99F,0
198404,>100F,0
198405,40-49F,0
198405,50-59F,0
198405,60-69F,8
198405,70-79F,17
198405,80-89F,5
198405,90-99F,1
198405,>100F,0
198406,40-49F,0
198406,50-59F,1
198406,60-69F,11
198406,70-79F,16
198406,80-89F,2
198406,90-99F,0
198406,>100F,0
198407,40-49F,0
198407,50-59F,0
198407,60-69F,7
198407,70-79F,18
198407,80-89F,6
198407,90-99F,0
198407,>100F,0
198408,40-49F,0
198408,50-59F,0
198408,60-69F,4
198408,70-79F,24
198408,80-89F,2
198408,90-99F,1
198408,>100F,0
198409,40-49F,0
198409,50-59F,0
198409,60-69F,1
198409,70-79F,11
198409,80-89F,12
198409,90-99F,5
198409,>100F,1
198410,40-49F,0
198410,50-59F,1
198410,60-69F,15
198410,70-79F,14
198410,80-89F,1
198410,90-99F,0
198410,>100F,0
198411,40-49F,0
198411,50-59F,13
198411,60-69F,16
198411,70-79F,1
198411,80-89F,0
198411,90-99F,0
198411,>100F,0
198412,40-49F,2
198412,50-59F,23
198412,60-69F,6
198412,70-79F,0
198412,80-89F,0
198412,90-99F,0
198412,>100F,0
198501,40-49F,0
198501,50-59F,26
198501,60-69F,5
198501,70-79F,0
198501,80-89F,0
198501,90-99F,0
198501,>100F,0
198502,40-49F,0
198502,50-59F,10
198502,60-69F,13
198502,70-79F,5
198502,80-89F,0
198502,90-99F,0
198502,>100F,0
198503,40-49F,0
198503,50-59F,16
198503,60-69F,14
198503,70-79F,1
198503,80-89F,0
198503,90-99F,0
198503,>100F,0
198504,40-49F,0
198504,50-59F,4
198504,60-69F,14
198504,70-79F,7
198504,80-89F,5
198504,90-99F,0
198504,>100F,0
198505,40-49F,0
198505,50-59F,1
198505,60-69F,24
198505,70-79F,5
198505,80-89F,1
198505,90-99F,0
198505,>100F,0
198506,40-49F,0
198506,50-59F,0
198506,60-69F,11
198506,70-79F,16
198506,80-89F,3
198506,90-99F,0
198506,>100F,0
198507,40-49F,0
198507,50-59F,0
198507,60-69F,13
198507,70-79F,12
198507,80-89F,3
198507,90-99F,3
198507,>100F,0
198508,40-49F,0
198508,50-59F,0
198508,60-69F,10
198508,70-79F,17
198508,80-89F,4
198508,90-99F,0
198508,>100F,0
198509,40-49F,0
198509,50-59F,0
198509,60-69F,12
198509,70-79F,16
198509,80-89F,2
198509,90-99F,0
198509,>100F,0
198510,40-49F,0
198510,50-59F,1
198510,60-69F,15
198510,70-79F,9
198510,80-89F,5
198510,90-99F,1
198510,>100F,0
198511,40-49F,0
198511,50-59F,18
198511,60-69F,6
198511,70-79F,5
198511,80-89F,1
198511,90-99F,0
198511,>100F,0
198512,40-49F,2
198512,50-59F,18
198512,60-69F,11
198512,70-79F,0
198512,80-89F,0
198512,90-99F,0
198512,>100F,0
198601,40-49F,0
198601,50-59F,10
198601,60-69F,21
198601,70-79F,0
198601,80-89F,0
198601,90-99F,0
198601,>100F,0
198602,40-49F,0
198602,50-59F,6
198602,60-69F,17
198602,70-79F,5
198602,80-89F,0
198602,90-99F,0
198602,>100F,0
198603,40-49F,0
198603,50-59F,6
198603,60-69F,19
198603,70-79F,6
198603,80-89F,0
198603,90-99F,0
198603,>100F,0
198604,40-49F,0
198604,50-59F,4
198604,60-69F,21
198604,70-79F,4
198604,80-89F,1
198604,90-99F,0
198604,>100F,0
198605,40-49F,0
198605,50-59F,0
198605,60-69F,18
198605,70-79F,13
198605,80-89F,0
198605,90-99F,0
198605,>100F,0
198606,40-49F,0
198606,50-59F,0
198606,60-69F,16
198606,70-79F,12
198606,80-89F,2
198606,90-99F,0
198606,>100F,0
198607,40-49F,0
198607,50-59F,0
198607,60-69F,13
198607,70-79F,15
198607,80-89F,3
198607,90-99F,0
198607,>100F,0
198608,40-49F,0
198608,50-59F,0
198608,60-69F,17
198608,70-79F,14
198608,80-89F,0
198608,90-99F,0
198608,>100F,0
198609,40-49F,0
198609,50-59F,0
198609,60-69F,17
198609,70-79F,12
198609,80-89F,1
198609,90-99F,0
198609,>100F,0
198610,40-49F,0
198610,50-59F,1
198610,60-69F,12
198610,70-79F,12
198610,80-89F,6
198610,90-99F,0
198610,>100F,0
198611,40-49F,0
198611,50-59F,0
198611,60-69F,19
198611,70-79F,11
198611,80-89F,0
198611,90-99F,0
198611,>100F,0
198612,40-49F,0
198612,50-59F,15
198612,60-69F,16
198612,70-79F,0
198612,80-89F,0
198612,90-99F,0
198612,>100F,0
198701,40-49F,1
198701,50-59F,20
198701,60-69F,10
198701,70-79F,0
198701,80-89F,0
198701,90-99F,0
198701,>100F,0
198702,40-49F,0
198702,50-59F,8
198702,60-69F,16
198702,70-79F,4
198702,80-89F,0
198702,90-99F,0
198702,>100F,0
198703,40-49F,0
198703,50-59F,5
198703,60-69F,19
198703,70-79F,7
198703,80-89F,0
198703,90-99F,0
198703,>100F,0
198704,40-49F,0
198704,50-59F,0
198704,60-69F,15
198704,70-79F,12
198704,80-89F,3
198704,90-99F,0
198704,>100F,0
198705,40-49F,0
198705,50-59F,0
198705,60-69F,16
198705,70-79F,10
198705,80-89F,3
198705,90-99F,2
198705,>100F,0
198706,40-49F,0
198706,50-59F,0
198706,60-69F,15
198706,70-79F,12
198706,80-89F,2
198706,90-99F,1
198706,>100F,0
198707,40-49F,0
198707,50-59F,0
198707,60-69F,7
198707,70-79F,20
198707,80-89F,4
198707,90-99F,0
198707,>100F,0
198708,40-49F,0
198708,50-59F,0
198708,60-69F,6
198708,70-79F,22
198708,80-89F,3
198708,90-99F,0
198708,>100F,0
198709,40-49F,0
198709,50-59F,0
198709,60-69F,4
198709,70-79F,22
198709,80-89F,4
198709,90-99F,0
198709,>100F,0
198710,40-49F,0
198710,50-59F,0
198710,60-69F,17
198710,70-79F,9
198710,80-89F,3
198710,90-99F,2
198710,>100F,0
198711,40-49F,0
198711,50-59F,3
198711,60-69F,24
198711,70-79F,3
198711,80-89F,0
198711,90-99F,0
198711,>100F,0
198712,40-49F,1
198712,50-59F,22
198712,60-69F,8
198712,70-79F,0
198712,80-89F,0
198712,90-99F,0
198712,>100F,0
198801,40-49F,2
198801,50-59F,19
198801,60-69F,9
198801,70-79F,1
198801,80-89F,0
198801,90-99F,0
198801,>100F,0
198802,40-49F,0
198802,50-59F,3
198802,60-69F,21
198802,70-79F,5
198802,80-89F,0
198802,90-99F,0
198802,>100F,0
198803,40-49F,0
198803,50-59F,2
198803,60-69F,21
198803,70-79F,8
198803,80-89F,0
198803,90-99F,0
198803,>100F,0
198804,40-49F,0
198804,50-59F,6
198804,60-69F,16
198804,70-79F,5
198804,80-89F,3
198804,90-99F,0
198804,>100F,0
198805,40-49F,0
198805,50-59F,4
198805,60-69F,17
198805,70-79F,8
198805,80-89F,2
198805,90-99F,0
198805,>100F,0
198806,40-49F,0
198806,50-59F,1
198806,60-69F,15
198806,70-79F,12
198806,80-89F,2
198806,90-99F,0
198806,>100F,0
198807,40-49F,0
198807,50-59F,0
198807,60-69F,4
198807,70-79F,20
198807,80-89F,6
198807,90-99F,1
198807,>100F,0
198904,40-49F,0
198904,50-59F,2
198904,60-69F,19
198904,70-79F,4
198904,80-89F,3
198904,90-99F,2
198904,>100F,0
198905,40-49F,0
198905,50-59F,2
198905,60-69F,19
198905,70-79F,10
198905,80-89F,0
198905,90-99F,0
198905,>100F,0
198906,40-49F,0
198906,50-59F,2
198906,60-69F,15
198906,70-79F,9
198906,80-89F,2
198906,90-99F,2
198906,>100F,0
198907,40-49F,0
198907,50-59F,0
198907,60-69F,3
198907,70-79F,22
198907,80-89F,6
198907,90-99F,0
198907,>100F,0
198908,40-49F,0
198908,50-59F,0
198908,60-69F,15
198908,70-79F,14
198908,80-89F,2
198908,90-99F,0
198908,>100F,0
198909,40-49F,0
198909,50-59F,0
198909,60-69F,14
198909,70-79F,14
198909,80-89F,2
198909,90-99F,0
198909,>100F,0
198910,40-49F,0
198910,50-59F,1
198910,60-69F,16
198910,70-79F,9
198910,80-89F,4
198910,90-99F,1
198910,>100F,0
198911,40-49F,0
198911,50-59F,3
198911,60-69F,15
198911,70-79F,12
198911,80-89F,0
198911,90-99F,0
198911,>100F,0
198912,40-49F,0
198912,50-59F,11
198912,60-69F,20
198912,70-79F,0
198912,80-89F,0
198912,90-99F,0
198912,>100F,0
199001,40-49F,0
199001,50-59F,21
199001,60-69F,10
199001,70-79F,0
199001,80-89F,0
199001,90-99F,0
199001,>100F,0
199002,40-49F,1
199002,50-59F,21
199002,60-69F,3
199002,70-79F,3
199002,80-89F,0
199002,90-99F,0
199002,>100F,0
199003,40-49F,0
199003,50-59F,11
199003,60-69F,19
199003,70-79F,1
199003,80-89F,0
199003,90-99F,0
199003,>100F,0
199004,40-49F,0
199004,50-59F,1
199004,60-69F,19
199004,70-79F,8
199004,80-89F,2
199004,90-99F,0
199004,>100F,0
199005,40-49F,0
199005,50-59F,0
199005,60-69F,23
199005,70-79F,6
199005,80-89F,1
199005,90-99F,0
199005,>100F,0
199006,40-49F,0
199006,50-59F,0
199006,60-69F,11
199006,70-79F,15
199006,80-89F,4
199006,90-99F,0
199006,>100F,0
199007,40-49F,0
199007,50-59F,0
199007,60-69F,12
199007,70-79F,17
199007,80-89F,2
199007,90-99F,0
199007,>100F,0
199008,40-49F,0
199008,50-59F,0
199008,60-69F,8
199008,70-79F,22
199008,80-89F,1
199008,90-99F,0
199008,>100F,0
199009,40-49F,0
199009,50-59F,0
199009,60-69F,0
199009,70-79F,27
199009,80-89F,2
199009,90-99F,0
199009,>100F,0
199010,40-49F,0
199010,50-59F,0
199010,60-69F,6
199010,70-79F,18
199010,80-89F,5
199010,90-99F,1
199010,>100F,0
199011,40-49F,0
199011,50-59F,6
199011,60-69F,13
199011,70-79F,11
199011,80-89F,0
199011,90-99F,0
199011,>100F,0
199012,40-49F,4
199012,50-59F,16
199012,60-69F,11
199012,70-79F,0
199012,80-89F,0
199012,90-99F,0
199012,>100F,0
199312,40-49F,1
199312,50-59F,17
199312,60-69F,10
199312,70-79F,0
199312,80-89F,0
199312,90-99F,0
199312,>100F,0
199401,40-49F,0
199401,50-59F,14
199401,60-69F,15
199401,70-79F,2
199401,80-89F,0
199401,90-99F,0
199401,>100F,0
199402,40-49F,1
199402,50-59F,16
199402,60-69F,11
199402,70-79F,0
199402,80-89F,0
199402,90-99F,0
199402,>100F,0
199403,40-49F,0
199403,50-59F,5
199403,60-69F,20
199403,70-79F,6
199403,80-89F,0
199403,90-99F,0
199403,>100F,0
199404,40-49F,0
199404,50-59F,5
199404,60-69F,20
199404,70-79F,5
199404,80-89F,0
199404,90-99F,0
199404,>100F,0
199405,40-49F,0
199405,50-59F,2
199405,60-69F,23
199405,70-79F,6
199405,80-89F,0
199405,90-99F,0
199405,>100F,0
199406,40-49F,0
199406,50-59F,0
199406,60-69F,8
199406,70-79F,7
199406,80-89F,1
199406,90-99F,1
199406,>100F,0
199407,40-49F,0
199407,50-59F,0
199407,60-69F,22
199407,70-79F,4
199407,80-89F,0
199407,90-99F,0
199407,>100F,0
199408,40-49F,0
199408,50-59F,0
199408,60-69F,7
199408,70-79F,19
199408,80-89F,5
199408,90-99F,0
199408,>100F,0
199409,40-49F,0
199409,50-59F,0
199409,60-69F,9
199409,70-79F,18
199409,80-89F,3
199409,90-99F,0
199409,>100F,0
199410,40-49F,0
199410,50-59F,0
199410,60-69F,9
199410,70-79F,18
199410,80-89F,4
199410,90-99F,0
199410,>100F,0
199411,40-49F,0
199411,50-59F,18
199411,60-69F,12
199411,70-79F,0
199411,80-89F,0
199411,90-99F,0
199411,>100F,0
199412,40-49F,0
199412,50-59F,29
199412,60-69F,2
199412,70-79F,0
199412,80-89F,0
199412,90-99F,0
199412,>100F,0
199501,40-49F,0
199501,50-59F,18
199501,60-69F,13
199501,70-79F,0
199501,80-89F,0
199501,90-99F,0
199501,>100F,0
199502,40-49F,0
199502,50-59F,9
199502,60-69F,14
199502,70-79F,5
199502,80-89F,0
199502,90-99F,0
199502,>100F,0
199503,40-49F,0
199503,50-59F,9
199503,60-69F,19
199503,70-79F,3
199503,80-89F,0
199503,90-99F,0
199503,>100F,0
199504,40-49F,0
199504,50-59F,3
199504,60-69F,25
199504,70-79F,1
199504,80-89F,1
199504,90-99F,0
199504,>100F,0
199505,40-49F,0
199505,50-59F,3
199505,60-69F,27
199505,70-79F,1
199505,80-89F,0
199505,90-99F,0
199505,>100F,0
199506,40-49F,0
199506,50-59F,0
199506,60-69F,16
199506,70-79F,11
199506,80-89F,1
199506,90-99F,2
199506,>100F,0
199507,40-49F,0
199507,50-59F,0
199507,60-69F,5
199507,70-79F,10
199507,80-89F,4
199507,90-99F,3
199507,>100F,0
199508,40-49F,0
199508,50-59F,0
199508,60-69F,11
199508,70-79F,15
199508,80-89F,5
199508,90-99F,0
199508,>100F,0
199509,40-49F,0
199509,50-59F,0
199509,60-69F,8
199509,70-79F,18
199509,80-89F,4
199509,90-99F,0
199509,>100F,0
199510,40-49F,0
199510,50-59F,2
199510,60-69F,9
199510,70-79F,12
199510,80-89F,7
199510,90-99F,1
199510,>100F,0
199511,40-49F,0
199511,50-59F,1
199511,60-69F,17
199511,70-79F,12
199511,80-89F,0
199511,90-99F,0
199511,>100F,0
199512,40-49F,0
199512,50-59F,14
199512,60-69F,16
199512,70-79F,1
199512,80-89F,0
199512,90-99F,0
199512,>100F,0
199601,40-49F,0
199601,50-59F,21
199601,60-69F,10
199601,70-79F,0
199601,80-89F,0
199601,90-99F,0
199601,>100F,0
199602,40-49F,0
199602,50-59F,14
199602,60-69F,12
199602,70-79F,3
199602,80-89F,0
199602,90-99F,0
199602,>100F,0
199603,40-49F,0
199603,50-59F,9
199603,60-69F,18
199603,70-79F,4
199603,80-89F,0
199603,90-99F,0
199603,>100F,0
199604,40-49F,0
199604,50-59F,1
199604,60-69F,19
199604,70-79F,6
199604,80-89F,4
199604,90-99F,0
199604,>100F,0
199605,40-49F,0
199605,50-59F,0
199605,60-69F,20
199605,70-79F,7
199605,80-89F,4
199605,90-99F,0
199605,>100F,0
199606,40-49F,0
199606,50-59F,1
199606,60-69F,12
199606,70-79F,12
199606,80-89F,3
199606,90-99F,2
199606,>100F,0
199607,40-49F,0
199607,50-59F,0
199607,60-69F,12
199607,70-79F,16
199607,80-89F,3
199607,90-99F,0
199607,>100F,0
199608,40-49F,0
199608,50-59F,0
199608,60-69F,12
199608,70-79F,17
199608,80-89F,2
199608,90-99F,0
199608,>100F,0
199609,40-49F,0
199609,50-59F,0
199609,60-69F,15
199609,70-79F,10
199609,80-89F,5
199609,90-99F,0
199609,>100F,0
199610,40-49F,0
199610,50-59F,1
199610,60-69F,12
199610,70-79F,9
199610,80-89F,1
199610,90-99F,0
199610,>100F,0
199611,40-49F,0
199611,50-59F,2
199611,60-69F,14
199611,70-79F,7
199611,80-89F,0
199611,90-99F,0
199611,>100F,0
199612,40-49F,0
199612,50-59F,8
199612,60-69F,22
199612,70-79F,0
199612,80-89F,0
199612,90-99F,0
199612,>100F,0
199701,40-49F,0
199701,50-59F,16
199701,60-69F,15
199701,70-79F,0
199701,80-89F,0
199701,90-99F,0
199701,>100F,0
199702,40-49F,0
199702,50-59F,5
199702,60-69F,19
199702,70-79F,4
199702,80-89F,0
199702,90-99F,0
199702,>100F,0
199703,40-49F,0
199703,50-59F,5
199703,60-69F,12
199703,70-79F,9
199703,80-89F,0
199703,90-99F,0
199703,>100F,0
199704,40-49F,0
199704,50-59F,0
199704,60-69F,12
199704,70-79F,9
199704,80-89F,0
199704,90-99F,0
199704,>100F,0
199705,40-49F,0
199705,50-59F,0
199705,60-69F,2
199705,70-79F,18
199705,80-89F,4
199705,90-99F,2
199705,>100F,0
199706,40-49F,0
199706,50-59F,0
199706,60-69F,1
199706,70-79F,14
199706,80-89F,15
199706,90-99F,0
199706,>100F,0
199707,40-49F,0
199707,50-59F,0
199707,60-69F,1
199707,70-79F,23
199707,80-89F,7
199707,90-99F,0
199707,>100F,0
199708,40-49F,0
199708,50-59F,0
199708,60-69F,1
199708,70-79F,22
199708,80-89F,8
199708,90-99F,0
199708,>100F,0
199709,40-49F,0
199709,50-59F,0
199709,60-69F,0
199709,70-79F,10
199709,80-89F,7
199709,90-99F,0
199709,>100F,0
199710,40-49F,0
199710,50-59F,0
199710,60-69F,6
199710,70-79F,13
199710,80-89F,4
199710,90-99F,0
199710,>100F,0
199711,40-49F,0
199711,50-59F,1
199711,60-69F,24
199711,70-79F,1
199711,80-89F,1
199711,90-99F,0
199711,>100F,0
199712,40-49F,0
199712,50-59F,19
199712,60-69F,12
199712,70-79F,0
199712,80-89F,0
199712,90-99F,0
199712,>100F,0
199801,40-49F,0
199801,50-59F,21
199801,60-69F,10
199801,70-79F,0
199801,80-89F,0
199801,90-99F,0
199801,>100F,0
199802,40-49F,0
199802,50-59F,21
199802,60-69F,7
199802,70-79F,0
199802,80-89F,0
199802,90-99F,0
199802,>100F,0
199803,40-49F,0
199803,50-59F,5
199803,60-69F,21
199803,70-79F,4
199803,80-89F,0
199803,90-99F,0
199803,>100F,0
199804,40-49F,0
199804,50-59F,3
199804,60-69F,19
199804,70-79F,7
199804,80-89F,1
199804,90-99F,0
199804,>100F,0
199805,40-49F,0
199805,50-59F,2
199805,60-69F,15
199805,70-79F,14
199805,80-89F,0
199805,90-99F,0
199805,>100F,0
199806,40-49F,0
199806,50-59F,0
199806,60-69F,11
199806,70-79F,16
199806,80-89F,2
199806,90-99F,1
199806,>100F,0
199807,40-49F,0
199807,50-59F,0
199807,60-69F,1
199807,70-79F,14
199807,80-89F,3
199807,90-99F,2
199807,>100F,0
199808,40-49F,0
199808,50-59F,0
199808,60-69F,3
199808,70-79F,19
199808,80-89F,5
199808,90-99F,2
199808,>100F,0
199809,40-49F,0
199809,50-59F,0
199809,60-69F,8
199809,70-79F,14
199809,80-89F,8
199809,90-99F,0
199809,>100F,0
199810,40-49F,0
199810,50-59F,0
199810,60-69F,14
199810,70-79F,13
199810,80-89F,4
199810,90-99F,0
199810,>100F,0
199811,40-49F,0
199811,50-59F,9
199811,60-69F,21
199811,70-79F,0
199811,80-89F,0
199811,90-99F,0
199811,>100F,0
199812,40-49F,5
199812,50-59F,20
199812,60-69F,5
199812,70-79F,1
199812,80-89F,0
199812,90-99F,0
199812,>100F,0
199901,40-49F,0
199901,50-59F,24
199901,60-69F,7
199901,70-79F,0
199901,80-89F,0
199901,90-99F,0
199901,>100F,0
199902,40-49F,0
199902,50-59F,22
199902,60-69F,6
199902,70-79F,0
199902,80-89F,0
199902,90-99F,0
199902,>100F,0
199903,40-49F,0
199903,50-59F,16
199903,60-69F,15
199903,70-79F,0
199903,80-89F,0
199903,90-99F,0
199903,>100F,0
199904,40-49F,0
199904,50-59F,9
199904,60-69F,12
199904,70-79F,5
199904,80-89F,4
199904,90-99F,0
199904,>100F,0
199905,40-49F,0
199905,50-59F,1
199905,60-69F,22
199905,70-79F,8
199905,80-89F,0
199905,90-99F,0
199905,>100F,0
199906,40-49F,0
199906,50-59F,0
199906,60-69F,8
199906,70-79F,19
199906,80-89F,3
199906,90-99F,0
199906,>100F,0
199907,40-49F,0
199907,50-59F,0
199907,60-69F,6
199907,70-79F,21
199907,80-89F,3
199907,90-99F,1
199907,>100F,0
199908,40-49F,0
199908,50-59F,0
199908,60-69F,2
199908,70-79F,25
199908,80-89F,4
199908,90-99F,0
199908,>100F,0
199909,40-49F,0
199909,50-59F,0
199909,60-69F,9
199909,70-79F,15
199909,80-89F,2
199909,90-99F,4
199909,>100F,0
199910,40-49F,0
199910,50-59F,0
199910,60-69F,6
199910,70-79F,10
199910,80-89F,11
199910,90-99F,0
199910,>100F,0
199911,40-49F,0
199911,50-59F,0
199911,60-69F,21
199911,70-79F,7
199911,80-89F,2
199911,90-99F,0
199911,>100F,0
199912,40-49F,0
199912,50-59F,10
199912,60-69F,17
199912,70-79F,4
199912,80-89F,0
199912,90-99F,0
199912,>100F,0
200001,40-49F,0
200001,50-59F,20
200001,60-69F,11
200001,70-79F,0
200001,80-89F,0
200001,90-99F,0
200001,>100F,0
200002,40-49F,0
200002,50-59F,13
200002,60-69F,16
200002,70-79F,0
200002,80-89F,0
200002,90-99F,0
200002,>100F,0
200003,40-49F,0
200003,50-59F,6
200003,60-69F,18
200003,70-79F,7
200003,80-89F,0
200003,90-99F,0
200003,>100F,0
200004,40-49F,0
200004,50-59F,0
200004,60-69F,18
200004,70-79F,8
200004,80-89F,4
200004,90-99F,0
200004,>100F,0
200005,40-49F,0
200005,50-59F,0
200005,60-69F,11
200005,70-79F,13
200005,80-89F,6
200005,90-99F,1
200005,>100F,0
200006,40-49F,0
200006,50-59F,0
200006,60-69F,3
200006,70-79F,22
200006,80-89F,3
200006,90-99F,1
200006,>100F,1
200007,40-49F,0
200007,50-59F,0
200007,60-69F,5
