,YearMonth,temp_bins,0
268,198210,70-79F,17
269,198210,80-89F,3
270,198210,90-99F,0
271,198210,>100F,0
272,198211,30-39F,0
273,198211,40-49F,0
274,198211,50-59F,22
275,198211,60-69F,5
276,198211,70-79F,3
277,198211,80-89F,0
278,198211,90-99F,0
279,198211,>100F,0
280,198212,30-39F,0
281,198212,40-49F,0
282,198212,50-59F,27
283,198212,60-69F,4
284,198212,70-79F,0
285,198212,80-89F,0
286,198212,90-99F,0
287,198212,>100F,0
288,198301,30-39F,0
289,198301,40-49F,0
290,198301,50-59F,24
291,198301,60-69F,7
292,198301,70-79F,0
293,198301,80-89F,0
294,198301,90-99F,0
295,198301,>100F,0
296,198302,30-39F,0
297,198302,40-49F,0
298,198302,50-59F,16
299,198302,60-69F,12
300,198302,70-79F,0
301,198302,80-89F,0
302,198302,90-99F,0
303,198302,>100F,0
304,198303,30-39F,0
305,198303,40-49F,0
306,198303,50-59F,15
307,198303,60-69F,16
308,198303,70-79F,0
309,198303,80-89F,0
310,198303,90-99F,0
311,198303,>100F,0
312,198304,30-39F,0
313,198304,40-49F,0
314,198304,50-59F,9
315,198304,60-69F,19
316,198304,70-79F,2
317,198304,80-89F,0
318,198304,90-99F,0
319,198304,>100F,0
320,198305,30-39F,0
321,198305,40-49F,0
322,198305,50-59F,1
323,198305,60-69F,21
324,198305,70-79F,7
325,198305,80-89F,2
326,198305,90-99F,0
327,198305,>100F,0
328,198306,30-39F,0
329,198306,40-49F,0
330,198306,50-59F,0
331,198306,60-69F,9
332,198306,70-79F,19
333,198306,80-89F,2
334,198306,90-99F,0
335,198306,>100F,0
336,198307,30-39F,0
337,198307,40-49F,0
338,198307,50-59F,0
339,198307,60-69F,6
340,198307,70-79F,19
341,198307,80-89F,4
342,198307,90-99F,2
343,198307,>100F,0
344,198308,30-39F,0
345,198308,40-49F,0
346,198308,50-59F,0
347,198308,60-69F,0
348,198308,70-79F,26
349,198308,80-89F,5
350,198308,90-99F,0
351,198308,>100F,0
352,198309,30-39F,0
353,198309,40-49F,0
354,198309,50-59F,0
355,198309,60-69F,2
356,198309,70-79F,15
357,198309,80-89F,10
358,198309,90-99F,3
359,198309,>100F,0
360,198310,30-39F,0
361,198310,40-49F,0
362,198310,50-59F,0
363,198310,60-69F,3
364,198310,70-79F,25
365,198310,80-89F,3
366,198310,90-99F,0
367,198310,>100F,0
368,198311,30-39F,0
369,198311,40-49F,0
370,198311,50-59F,9
371,198311,60-69F,19
372,198311,70-79F,2
373,198311,80-89F,0
374,198311,90-99F,0
375,198311,>100F,0
376,198312,30-39F,0
377,198312,40-49F,2
378,198312,50-59F,23
379,198312,60-69F,6
380,198312,70-79F,0
381,198312,80-89F,0
382,198312,90-99F,0
383,198312,>100F,0
384,198401,30-39F,0
385,198401,40-49F,1
386,198401,50-59F,18
387,198401,60-69F,12
388,198401,70-79F,0
389,198401,80-89F,0
390,198401,90-99F,0
391,198401,>100F,0
392,198402,30-39F,0
393,198402,40-49F,0
394,198402,50-59F,14
395,198402,60-69F,15
396,198402,70-79F,0
397,198402,80-89F,0
398,198402,90-99F,0
399,198402,>100F,0
400,198403,30-39F,0
401,198403,40-49F,0
402,198403,50-59F,1
403,198403,60-69F,24
404,198403,70-79F,6
405,198403,80-89F,0
406,198403,90-99F,0
407,198403,>100F,0
408,198404,30-39F,0
409,198404,40-49F,0
410,198404,50-59F,3
411,198404,60-69F,22
412,198404,70-79F,4
413,198404,80-89F,1
414,198404,90-99F,0
415,198404,>100F,0
416,198405,30-39F,0
417,198405,40-49F,0
418,198405,50-59F,0
419,198405,60-69F,11
420,198405,70-79F,15
