,YearMonth,prcp_bins,0
258,198703,0mm,0
259,198703,1-4mm,31
260,198703,5-14mm,0
261,198704,0mm,0
262,198704,1-4mm,30
263,198704,5-14mm,0
264,198705,0mm,0
265,198705,1-4mm,31
266,198705,5-14mm,0
267,198706,0mm,0
268,198706,1-4mm,30
269,198706,5-14mm,0
270,198707,0mm,0
271,198707,1-4mm,31
272,198707,5-14mm,0
273,198708,0mm,0
274,198708,1-4mm,31
275,198708,5-14mm,0
276,198709,0mm,0
277,198709,1-4mm,30
278,198709,5-14mm,0
279,198710,0mm,0
280,198710,1-4mm,31
281,198710,5-14mm,0
282,198711,0mm,0
283,198711,1-4mm,30
284,198711,5-14mm,0
285,198712,0mm,0
286,198712,1-4mm,31
287,198712,5-14mm,0
288,198801,0mm,0
289,198801,1-4mm,31
290,198801,5-14mm,0
291,198802,0mm,0
292,198802,1-4mm,29
293,198802,5-14mm,0
294,198803,0mm,0
295,198803,1-4mm,31
296,198803,5-14mm,0
297,198804,0mm,0
298,198804,1-4mm,30
299,198804,5-14mm,0
300,198805,0mm,0
301,198805,1-4mm,31
302,198805,5-14mm,0
303,198806,0mm,0
304,198806,1-4mm,30
305,198806,5-14mm,0
306,198807,0mm,0
307,198807,1-4mm,31
308,198807,5-14mm,0
309,198808,0mm,0
310,198808,1-4mm,31
311,198808,5-14mm,0
312,198809,0mm,0
313,198809,1-4mm,30
314,198809,5-14mm,0
315,198810,0mm,0
316,198810,1-4mm,31
317,198810,5-14mm,0
318,198811,0mm,0
319,198811,1-4mm,30
320,198811,5-14mm,0
321,198812,0mm,0
322,198812,1-4mm,31
323,198812,5-14mm,0
324,198901,0mm,0
325,198901,1-4mm,31
326,198901,5-14mm,0
327,198902,0mm,0
328,198902,1-4mm,28
329,198902,5-14mm,0
330,198903,0mm,0
331,198903,1-4mm,31
332,198903,5-14mm,0
333,198904,0mm,0
334,198904,1-4mm,30
335,198904,5-14mm,0
336,198905,0mm,0
337,198905,1-4mm,31
338,198905,5-14mm,0
339,198906,0mm,0
340,198906,1-4mm,30
341,198906,5-14mm,0
342,198907,0mm,0
343,198907,1-4mm,31
344,198907,5-14mm,0
345,198908,0mm,0
346,198908,1-4mm,31
347,198908,5-14mm,0
348,198909,0mm,0
349,198909,1-4mm,30
350,198909,5-14mm,0
351,198910,0mm,0
352,198910,1-4mm,31
353,198910,5-14mm,0
354,198911,0mm,0
355,198911,1-4mm,30
356,198911,5-14mm,0
357,198912,0mm,0
358,198912,1-4mm,31
359,198912,5-14mm,0
360,199001,0mm,0
361,199001,1-4mm,31
362,199001,5-14mm,0
363,199002,0mm,0
364,199002,1-4mm,28
365,199002,5-14mm,0
366,199003,0mm,0
367,199003,1-4mm,31
368,199003,5-14mm,0
369,199004,0mm,0
370,199004,1-4mm,30
371,199004,5-14mm,0
372,199005,0mm,0
373,199005,1-4mm,31
374,199005,5-14mm,0
375,199006,0mm,0
376,199006,1-4mm,30
377,199006,5-14mm,0
378,199007,0mm,0
379,199007,1-4mm,31
380,199007,5-14mm,0
381,199008,0mm,0
382,199008,1-4mm,31
383,199008,5-14mm,0
384,199009,0mm,0
385,199009,1-4mm,30
386,199009,5-14mm,0
387,199010,0mm,0
388,199010,1-4mm,31
389,199010,5-14mm,0
390,199011,0mm,0
391,199011,1-4mm,30
392,199011,5-14mm,0
393,199012,0mm,0
394,199012,1-4mm,31
395,199012,5-14mm,0
396,199101,0mm,0
397,199101,1-4mm,31
398,199101,5-14mm,0
399,199102,0mm,0
400,199102,1-4mm,28
401,199102,5-14mm,0
402,199103,0mm,0
403,199103,1-4mm,31
404,199103,5-14mm,0
405,199104,0mm,0
406,199104,1-4mm,30
407,199104,5-14mm,0
408,199105,0mm,0
409,199105,1-4mm,31
410,199105,5-14mm,0
411,199106,0mm,0
412,199106,1-4mm,30
413,199106,5-14mm,0
414,199107,0mm,0
415,199107,1-4mm,31
416,199107,5-14mm,0
417,199108,0mm,0
418,199108,1-4mm,31
419,199108,5-14mm,0
420,199109,0mm,0
421,199109,1-4mm,30
422,199109,5-14mm,0
423,199110,0mm,0
424,199110,1-4mm,31
425,199110,5-14mm,0
426,199111,0mm,0
427,199111,1-4mm,30
428,199111,5-14mm,0
429,199112,0mm,0
430,199112,1-4mm,31
431,199112,5-14mm,0
432,199201,0mm,0
433,199201,1-4mm,31
434,199201,5-14mm,0
435,199202,0mm,0
436,199202,1-4mm,29
437,199202,5-14mm,0
438,199203,0mm,0
439,199203,1-4mm,31
440,199203,5-14mm,0
441,199204,0mm,0
442,199204,1-4mm,30
443,199204,5-14mm,0
444,199205,0mm,0
445,199205,1-4mm,31
446,199205,5-14mm,0
447,199206,0mm,0
448,199206,1-4mm,30
449,199206,5-14mm,0
450,199207,0mm,0
451,199207,1-4mm,31
452,199207,5-14mm,0
453,199208,0mm,0
454,199208,1-4mm,31
455,199208,5-14mm,0
456,199209,0mm,0
457,199209,1-4mm,30
458,199209,5-14mm,0
459,199210,0mm,0
460,199210,1-4mm,31
461,199210,5-14mm,0
462,199211,0mm,0
463,199211,1-4mm,30
464,199211,5-14mm,0
465,199212,0mm,0
466,199212,1-4mm,31
467,199212,5-14mm,0
468,199301,0mm,0
469,199301,1-4mm,30
470,199301,5-14mm,1
471,199302,0mm,0
472,199302,1-4mm,28
473,199302,5-14mm,0
474,199303,0mm,0
475,199303,1-4mm,31
476,199303,5-14mm,0
477,199304,0mm,0
478,199304,1-4mm,30
479,199304,5-14mm,0
480,199305,0mm,0
481,199305,1-4mm,31
482,199305,5-14mm,0
483,199306,0mm,0
484,199306,1-4mm,30
485,199306,5-14mm,0
486,199307,0mm,0
487,199307,1-4mm,31
488,199307,5-14mm,0
489,199308,0mm,0
490,199308,1-4mm,31
491,199308,5-14mm,0
492,199309,0mm,0
493,199309,1-4mm,30
494,199309,5-14mm,0
495,199310,0mm,0
496,199310,1-4mm,31
497,199310,5-14mm,0
498,199311,0mm,0
499,199311,1-4mm,30
500,199311,5-14mm,0
501,199312,0mm,0
502,199312,1-4mm,31
503,199312,5-14mm,0
504,199401,0mm,0
505,199401,1-4mm,31
506,199401,5-14mm,0
507,199402,0mm,0
508,199402,1-4mm,28
509,199402,5-14mm,0
510,199403,0mm,0
511,199403,1-4mm,31
512,199403,5-14mm,0
513,199404,0mm,0
514,199404,1-4mm,30
515,199404,5-14mm,0
516,199405,0mm,0
517,199405,1-4mm,31
518,199405,5-14mm,0
519,199406,0mm,0
520,199406,1-4mm,30
521,199406,5-14mm,0
522,199407,0mm,0
523,199407,1-4mm,31
524,199407,5-14mm,0
525,199408,0mm,0
526,199408,1-4mm,31
527,199408,5-14mm,0
528,199409,0mm,0
529,199409,1-4mm,30
530,199409,5-14mm,0
531,199410,0mm,0
532,199410,1-4mm,31
533,199410,5-14mm,0
534,199411,0mm,0
535,199411,1-4mm,28
536,199411,5-14mm,2
537,199412,0mm,0
538,199412,1-4mm,31
539,199412,5-14mm,0
540,199501,0mm,0
541,199501,1-4mm,30
542,199501,5-14mm,1
543,199502,0mm,0
544,199502,1-4mm,28
545,199502,5-14mm,0
546,199503,0mm,0
547,199503,1-4mm,31
548,199503,5-14mm,0
549,199504,0mm,0
550,199504,1-4mm,30
551,199504,5-14mm,0
552,199505,0mm,0
553,199505,1-4mm,31
554,199505,5-14mm,0
555,199506,0mm,0
556,199506,1-4mm,30
557,199506,5-14mm,0
558,199507,0mm,0
559,199507,1-4mm,31
560,199507,5-14mm,0
561,199508,0mm,0
562,199508,1-4mm,31
563,199508,5-14mm,0
564,199509,0mm,0
565,199509,1-4mm,30
566,199509,5-14mm,0
567,199510,0mm,0
568,199510,1-4mm,31
569,199510,5-14mm,0
570,199511,0mm,0
571,199511,1-4mm,30
572,199511,5-14mm,0
573,199512,0mm,0
574,199512,1-4mm,29
575,199512,5-14mm,2
576,199601,0mm,0
577,199601,1-4mm,31
578,199601,5-14mm,0
579,199602,0mm,0
580,199602,1-4mm,29
581,199602,5-14mm,0
582,199603,0mm,0
583,199603,1-4mm,31
584,199603,5-14mm,0
585,199604,0mm,0
586,199604,1-4mm,30
587,199604,5-14mm,0
588,199605,0mm,0
589,199605,1-4mm,31
590,199605,5-14mm,0
591,199606,0mm,0
592,199606,1-4mm,30
593,199606,5-14mm,0
594,199607,0mm,0
595,199607,1-4mm,31
596,199607,5-14mm,0
597,199608,0mm,0
598,199608,1-4mm,31
599,199608,5-14mm,0
600,199609,0mm,0
601,199609,1-4mm,30
602,199609,5-14mm,0
603,199610,0mm,0
604,199610,1-4mm,31
605,199610,5-14mm,0
606,199611,0mm,0
607,199611,1-4mm,30
608,199611,5-14mm,0
609,199612,0mm,0
610,199612,1-4mm,31
611,199612,5-14mm,0
612,199701,0mm,0
613,199701,1-4mm,31
614,199701,5-14mm,0
615,199702,0mm,0
616,199702,1-4mm,28
617,199702,5-14mm,0
618,199703,0mm,0
619,199703,1-4mm,31
620,199703,5-14mm,0
621,199704,0mm,0
622,199704,1-4mm,30
623,199704,5-14mm,0
624,199705,0mm,0
625,199705,1-4mm,31
626,199705,5-14mm,0
627,199706,0mm,0
628,199706,1-4mm,30
629,199706,5-14mm,0
630,199707,0mm,0
631,199707,1-4mm,31
632,199707,5-14mm,0
633,199708,0mm,0
634,199708,1-4mm,31
635,199708,5-14mm,0
636,199709,0mm,0
637,199709,1-4mm,30
638,199709,5-14mm,0
639,199710,0mm,0
640,199710,1-4mm,31
641,199710,5-14mm,0
642,199711,0mm,0
643,199711,1-4mm,30
644,199711,5-14mm,0
645,199712,0mm,0
646,199712,1-4mm,31
647,199712,5-14mm,0
648,199801,0mm,0
649,199801,1-4mm,31
650,199801,5-14mm,0
651,199802,0mm,0
652,199802,1-4mm,27
653,199802,5-14mm,1
654,199803,0mm,0
655,199803,1-4mm,31
656,199803,5-14mm,0
657,199804,0mm,0
658,199804,1-4mm,30
659,199804,5-14mm,0
660,199805,0mm,0
661,199805,1-4mm,31
662,199805,5-14mm,0
663,199806,0mm,0
664,199806,1-4mm,30
665,199806,5-14mm,0
666,199807,0mm,0
667,199807,1-4mm,31
668,199807,5-14mm,0
669,199808,0mm,0
670,199808,1-4mm,31
671,199808,5-14mm,0
672,199809,0mm,0
673,199809,1-4mm,30
674,199809,5-14mm,0
675,199810,0mm,0
676,199810,1-4mm,31
677,199810,5-14mm,0
678,199811,0mm,0
679,199811,1-4mm,30
680,199811,5-14mm,0
681,199812,0mm,0
682,199812,1-4mm,31
683,199812,5-14mm,0
684,199901,0mm,0
685,199901,1-4mm,31
686,199901,5-14mm,0
687,199902,0mm,0
688,199902,1-4mm,28
689,199902,5-14mm,0
690,199903,0mm,0
691,199903,1-4mm,31
692,199903,5-14mm,0
693,199904,0mm,0
694,199904,1-4mm,30
695,199904,5-14mm,0
696,199905,0mm,0
697,199905,1-4mm,31
698,199905,5-14mm,0
699,199906,0mm,0
700,199906,1-4mm,30
701,199906,5-14mm,0
702,199907,0mm,0
703,199907,1-4mm,31
704,199907,5-14mm,0
705,199908,0mm,0
706,199908,1-4mm,31
707,199908,5-14mm,0
708,199909,0mm,0
709,199909,1-4mm,30
710,199909,5-14mm,0
711,199910,0mm,0
712,199910,1-4mm,31
713,199910,5-14mm,0
714,199911,0mm,0
715,199911,1-4mm,30
716,199911,5-14mm,0
717,199912,0mm,0
718,199912,1-4mm,31
719,199912,5-14mm,0
720,200001,0mm,0
721,200001,1-4mm,29
722,200001,5-14mm,2
723,200002,0mm,0
724,200002,1-4mm,28
725,200002,5-14mm,1
726,200003,0mm,0
727,200003,1-4mm,31
728,200003,5-14mm,0
729,200004,0mm,0
730,200004,1-4mm,30
731,200004,5-14mm,0
732,200005,0mm,0
733,200005,1-4mm,31
734,200005,5-14mm,0
735,200006,0mm,0
736,200006,1-4mm,30
737,200006,5-14mm,0
738,200007,0mm,0
739,200007,1-4mm,31
740,200007,5-14mm,0
741,200008,0mm,0
742,200008,1-4mm,31
743,200008,5-14mm,0
744,200009,0mm,0
745,200009,1-4mm,30
746,200009,5-14mm,0
747,200010,0mm,0
748,200010,1-4mm,31
749,200010,5-14mm,0
750,200011,0mm,0
751,200011,1-4mm,30
752,200011,5-14mm,0
753,200012,0mm,0
