YearMonth,prcp_bins,0
200204,5-14mm,0
200204,15-29mm,0
200204,>30mm,0
200205,0mm,25
200205,1-4mm,4
200205,5-14mm,2
200205,15-29mm,0
200205,>30mm,0
200206,0mm,28
200206,1-4mm,2
200206,5-14mm,0
200206,15-29mm,0
200206,>30mm,0
200207,0mm,31
200207,1-4mm,0
200207,5-14mm,0
200207,15-29mm,0
200207,>30mm,0
200208,0mm,29
200208,1-4mm,2
200208,5-14mm,0
200208,15-29mm,0
200208,>30mm,0
200209,0mm,28
200209,1-4mm,2
200209,5-14mm,0
200209,15-29mm,0
200209,>30mm,0
200210,0mm,28
200210,1-4mm,3
200210,5-14mm,0
200210,15-29mm,0
200210,>30mm,0
200211,0mm,22
200211,1-4mm,6
200211,5-14mm,0
200211,15-29mm,1
200211,>30mm,1
200212,0mm,8
200212,1-4mm,12
200212,5-14mm,5
200212,15-29mm,4
200212,>30mm,2
200301,0mm,14
200301,1-4mm,16
200301,5-14mm,1
200301,15-29mm,0
200301,>30mm,0
200302,0mm,15
200302,1-4mm,10
200302,5-14mm,3
200302,15-29mm,0
200302,>30mm,0
200303,0mm,17
200303,1-4mm,11
200303,5-14mm,3
200303,15-29mm,0
200303,>30mm,0
200304,0mm,7
200304,1-4mm,17
200304,5-14mm,4
200304,15-29mm,2
200304,>30mm,0
200305,0mm,21
200305,1-4mm,8
200305,5-14mm,2
200305,15-29mm,0
200305,>30mm,0
200306,0mm,30
200306,1-4mm,0
200306,5-14mm,0
200306,15-29mm,0
200306,>30mm,0
200307,0mm,28
200307,1-4mm,3
200307,5-14mm,0
200307,15-29mm,0
200307,>30mm,0
200308,0mm,26
200308,1-4mm,5
200308,5-14mm,0
200308,15-29mm,0
200308,>30mm,0
200309,0mm,28
200309,1-4mm,2
200309,5-14mm,0
200309,15-29mm,0
200309,>30mm,0
200310,0mm,30
200310,1-4mm,1
200310,5-14mm,0
200310,15-29mm,0
200310,>30mm,0
200311,0mm,16
200311,1-4mm,11
200311,5-14mm,2
200311,15-29mm,1
200311,>30mm,0
200312,0mm,7
200312,1-4mm,15
200312,5-14mm,8
200312,15-29mm,1
200312,>30mm,0
200401,0mm,7
200401,1-4mm,21
200401,5-14mm,2
200401,15-29mm,0
200401,>30mm,1
200402,0mm,5
200402,1-4mm,17
200402,5-14mm,4
200402,15-29mm,3
200402,>30mm,0
200403,0mm,22
200403,1-4mm,8
200403,5-14mm,1
200403,15-29mm,0
200403,>30mm,0
200404,0mm,23
200404,1-4mm,7
200404,5-14mm,0
200404,15-29mm,0
200404,>30mm,0
200405,0mm,29
200405,1-4mm,2
200405,5-14mm,0
200405,15-29mm,0
200405,>30mm,0
200406,0mm,30
200406,1-4mm,0
200406,5-14mm,0
200406,15-29mm,0
200406,>30mm,0
200407,0mm,30
200407,1-4mm,1
200407,5-14mm,0
200407,15-29mm,0
200407,>30mm,0
200408,0mm,30
200408,1-4mm,1
200408,5-14mm,0
200408,15-29mm,0
200408,>30mm,0
200409,0mm,27
200409,1-4mm,2
200409,5-14mm,1
200409,15-29mm,0
200409,>30mm,0
200410,0mm,20
200410,1-4mm,8
200410,5-14mm,1
200410,15-29mm,2
200410,>30mm,0
200411,0mm,15
200411,1-4mm,13
200411,5-14mm,2
200411,15-29mm,0
200411,>30mm,0
200412,0mm,15
200412,1-4mm,9
200412,5-14mm,3
200412,15-29mm,4
200412,>30mm,0
200501,0mm,6
200501,1-4mm,17
200501,5-14mm,8
200501,15-29mm,0
200501,>30mm,0
200502,0mm,10
200502,1-4mm,10
200502,5-14mm,7
200502,15-29mm,1
200502,>30mm,0
200503,0mm,10
200503,1-4mm,15
200503,5-14mm,5
200503,15-29mm,1
200503,>30mm,0
200504,0mm,18
200504,1-4mm,8
200504,5-14mm,4
200504,15-29mm,0
200504,>30mm,0
200505,0mm,20
200505,1-4mm,6
200505,5-14mm,5
200505,15-29mm,0
200505,>30mm,0
200506,0mm,24
200506,1-4mm,6
200506,5-14mm,0
200506,15-29mm,0
200506,>30mm,0
200507,0mm,28
200507,1-4mm,3
200507,5-14mm,0
200507,15-29mm,0
200507,>30mm,0
200508,0mm,28
200508,1-4mm,3
200508,5-14mm,0
200508,15-29mm,0
200508,>30mm,0
200509,0mm,25
200509,1-4mm,5
200509,5-14mm,0
200509,15-29mm,0
200509,>30mm,0
200510,0mm,19
200510,1-4mm,12
200510,5-14mm,0
200510,15-29mm,0
200510,>30mm,0
200511,0mm,15
200511,1-4mm,13
200511,5-14mm,2
200511,15-29mm,0
200511,>30mm,0
200512,0mm,12
200512,1-4mm,9
200512,5-14mm,7
200512,15-29mm,1
200512,>30mm,2
200601,0mm,8
200601,1-4mm,19
200601,5-14mm,3
200601,15-29mm,1
200601,>30mm,0
200602,0mm,16
200602,1-4mm,9
200602,5-14mm,3
200602,15-29mm,0
200602,>30mm,0
200603,0mm,3
200603,1-4mm,13
200603,5-14mm,13
200603,15-29mm,2
200603,>30mm,0
200604,0mm,11
200604,1-4mm,12
200604,5-14mm,6
200604,15-29mm,1
200604,>30mm,0
200605,0mm,24
200605,1-4mm,6
200605,5-14mm,1
200605,15-29mm,0
200605,>30mm,0
200606,0mm,29
200606,1-4mm,1
200606,5-14mm,0
200606,15-29mm,0
200606,>30mm,0
200607,0mm,31
200607,1-4mm,0
200607,5-14mm,0
200607,15-29mm,0
200607,>30mm,0
200608,0mm,31
200608,1-4mm,0
200608,5-14mm,0
200608,15-29mm,0
200608,>30mm,0
200609,0mm,29
200609,1-4mm,1
200609,5-14mm,0
200609,15-29mm,0
200609,>30mm,0
200610,0mm,25
200610,1-4mm,5
200610,5-14mm,1
200610,15-29mm,0
200610,>30mm,0
200611,0mm,9
200611,1-4mm,17
200611,5-14mm,4
200611,15-29mm,0
200611,>30mm,0
200612,0mm,14
200612,1-4mm,13
200612,5-14mm,3
200612,15-29mm,1
200612,>30mm,0
200701,0mm,21
200701,1-4mm,10
200701,5-14mm,0
200701,15-29mm,0
200701,>30mm,0
200702,0mm,11
200702,1-4mm,8
200702,5-14mm,8
200702,15-29mm,1
200702,>30mm,0
200703,0mm,24
200703,1-4mm,7
200703,5-14mm,0
200703,15-29mm,0
200703,>30mm,0
200704,0mm,19
200704,1-4mm,9
200704,5-14mm,2
200704,15-29mm,0
200704,>30mm,0
200705,0mm,27
200705,1-4mm,4
200705,5-14mm,0
200705,15-29mm,0
200705,>30mm,0
200706,0mm,30
200706,1-4mm,0
200706,5-14mm,0
200706,15-29mm,0
200706,>30mm,0
200707,0mm,27
200707,1-4mm,4
200707,5-14mm,0
200707,15-29mm,0
200707,>30mm,0
200708,0mm,30
200708,1-4mm,1
200708,5-14mm,0
200708,15-29mm,0
200708,>30mm,0
200709,0mm,25
200709,1-4mm,5
200709,5-14mm,0
200709,15-29mm,0
200709,>30mm,0
200710,0mm,15
200710,1-4mm,14
200710,5-14mm,1
200710,15-29mm,1
200710,>30mm,0
200711,0mm,21
200711,1-4mm,7
200711,5-14mm,2
200711,15-29mm,0
200711,>30mm,0
200712,0mm,16
200712,1-4mm,10
200712,5-14mm,4
200712,15-29mm,1
200712,>30mm,0
200801,0mm,9
200801,1-4mm,13
200801,5-14mm,6
200801,15-29mm,2
200801,>30mm,1
200802,0mm,16
200802,1-4mm,8
200802,5-14mm,5
200802,15-29mm,0
200802,>30mm,0
200803,0mm,22
200803,1-4mm,9
200803,5-14mm,0
200803,15-29mm,0
200803,>30mm,0
200804,0mm,27
200804,1-4mm,3
200804,5-14mm,0
200804,15-29mm,0
200804,>30mm,0
200805,0mm,29
200805,1-4mm,2
200805,5-14mm,0
200805,15-29mm,0
200805,>30mm,0
200806,0mm,30
200806,1-4mm,0
200806,5-14mm,0
200806,15-29mm,0
200806,>30mm,0
200807,0mm,31
200807,1-4mm,0
200807,5-14mm,0
200807,15-29mm,0
200807,>30mm,0
200808,0mm,30
200808,1-4mm,1
200808,5-14mm,0
200808,15-29mm,0
200808,>30mm,0
200809,0mm,28
200809,1-4mm,2
200809,5-14mm,0
200809,15-29mm,0
200809,>30mm,0
200810,0mm,22
200810,1-4mm,9
200810,5-14mm,0
200810,15-29mm,0
200810,>30mm,0
200811,0mm,15
200811,1-4mm,12
200811,5-14mm,2
200811,15-29mm,1
200811,>30mm,0
200812,0mm,10
200812,1-4mm,17
200812,5-14mm,4
200812,15-29mm,0
200812,>30mm,0
200901,0mm,15
200901,1-4mm,15
200901,5-14mm,0
200901,15-29mm,1
200901,>30mm,0
200902,0mm,3
200902,1-4mm,16
200902,5-14mm,6
200902,15-29mm,3
200902,>30mm,0
200903,0mm,19
200903,1-4mm,7
200903,5-14mm,4
200903,15-29mm,1
200903,>30mm,0
200904,0mm,23
200904,1-4mm,6
200904,5-14mm,1
200904,15-29mm,0
200904,>30mm,0
200905,0mm,25
200905,1-4mm,3
200905,5-14mm,3
200905,15-29mm,0
200905,>30mm,0
200906,0mm,24
200906,1-4mm,6
200906,5-14mm,0
200906,15-29mm,0
200906,>30mm,0
200907,0mm,28
200907,1-4mm,3
200907,5-14mm,0
200907,15-29mm,0
200907,>30mm,0
200908,0mm,29
200908,1-4mm,2
200908,5-14mm,0
200908,15-29mm,0
200908,>30mm,0
200909,0mm,23
200909,1-4mm,7
200909,5-14mm,0
200909,15-29mm,0
200909,>30mm,0
200910,0mm,21
200910,1-4mm,6
200910,5-14mm,2
200910,15-29mm,0
200910,>30mm,2
200911,0mm,17
200911,1-4mm,13
200911,5-14mm,0
200911,15-29mm,0
200911,>30mm,0
200912,0mm,8
200912,1-4mm,18
200912,5-14mm,4
200912,15-29mm,1
200912,>30mm,0
