YearMonth,prcp_bins,0
198406,5-14mm,0
198406,15-29mm,0
198406,>30mm,0
198407,0mm,31
198407,1-4mm,0
198407,5-14mm,0
198407,15-29mm,0
198407,>30mm,0
198408,0mm,29
198408,1-4mm,2
198408,5-14mm,0
198408,15-29mm,0
198408,>30mm,0
198409,0mm,28
198409,1-4mm,2
198409,5-14mm,0
198409,15-29mm,0
198409,>30mm,0
198410,0mm,19
198410,1-4mm,8
198410,5-14mm,3
198410,15-29mm,1
198410,>30mm,0
198411,0mm,4
198411,1-4mm,16
198411,5-14mm,8
198411,15-29mm,2
198411,>30mm,0
198412,0mm,14
198412,1-4mm,14
198412,5-14mm,3
198412,15-29mm,0
198412,>30mm,0
198501,0mm,22
198501,1-4mm,8
198501,5-14mm,1
198501,15-29mm,0
198501,>30mm,0
198502,0mm,21
198502,1-4mm,5
198502,5-14mm,1
198502,15-29mm,1
198502,>30mm,0
198503,0mm,13
198503,1-4mm,12
198503,5-14mm,5
198503,15-29mm,1
198503,>30mm,0
198504,0mm,24
198504,1-4mm,6
198504,5-14mm,0
198504,15-29mm,0
198504,>30mm,0
198505,0mm,23
198505,1-4mm,8
198505,5-14mm,0
198505,15-29mm,0
198505,>30mm,0
198506,0mm,26
198506,1-4mm,3
198506,5-14mm,1
198506,15-29mm,0
198506,>30mm,0
198507,0mm,28
198507,1-4mm,3
198507,5-14mm,0
198507,15-29mm,0
198507,>30mm,0
198508,0mm,27
198508,1-4mm,4
198508,5-14mm,0
198508,15-29mm,0
198508,>30mm,0
198509,0mm,23
198509,1-4mm,7
198509,5-14mm,0
198509,15-29mm,0
198509,>30mm,0
198510,0mm,26
198510,1-4mm,3
198510,5-14mm,2
198510,15-29mm,0
198510,>30mm,0
198511,0mm,14
198511,1-4mm,11
198511,5-14mm,3
198511,15-29mm,1
198511,>30mm,1
198512,0mm,19
198512,1-4mm,8
198512,5-14mm,3
198512,15-29mm,1
198512,>30mm,0
198601,0mm,12
198601,1-4mm,11
198601,5-14mm,7
198601,15-29mm,1
198601,>30mm,0
198602,0mm,9
