YearMonth,temp_bins,0
198305,50-59F,1
198305,60-69F,14
198305,70-79F,12
198305,80-89F,4
198305,90-99F,0
198305,>100F,0
198306,30-39F,0
198306,40-49F,0
198306,50-59F,0
198306,60-69F,5
198306,70-79F,18
198306,80-89F,7
198306,90-99F,0
198306,>100F,0
198307,30-39F,0
198307,40-49F,0
198307,50-59F,0
198307,60-69F,2
198307,70-79F,18
198307,80-89F,8
198307,90-99F,3
198307,>100F,0
198308,30-39F,0
198308,40-49F,0
198308,50-59F,0
198308,60-69F,0
198308,70-79F,16
198308,80-89F,13
198308,90-99F,2
198308,>100F,0
198309,30-39F,0
198309,40-49F,0
198309,50-59F,0
198309,60-69F,1
198309,70-79F,13
198309,80-89F,11
198309,90-99F,5
198309,>100F,0
198310,30-39F,0
198310,40-49F,0
198310,50-59F,0
198310,60-69F,1
198310,70-79F,26
198310,80-89F,4
198310,90-99F,0
198310,>100F,0
198311,30-39F,0
198311,40-49F,1
198311,50-59F,14
198311,60-69F,11
198311,70-79F,4
198311,80-89F,0
198311,90-99F,0
198311,>100F,0
198312,30-39F,0
198312,40-49F,2
198312,50-59F,24
198312,60-69F,5
198312,70-79F,0
198312,80-89F,0
198312,90-99F,0
198312,>100F,0
198401,30-39F,0
198401,40-49F,2
198401,50-59F,21
198401,60-69F,8
198401,70-79F,0
198401,80-89F,0
198401,90-99F,0
198401,>100F,0
198402,30-39F,0
198402,40-49F,0
198402,50-59F,16
198402,60-69F,13
198402,70-79F,0
198402,80-89F,0
198402,90-99F,0
198402,>100F,0
198403,30-39F,0
198403,40-49F,0
198403,50-59F,2
198403,60-69F,23
198403,70-79F,6
198403,80-89F,0
198403,90-99F,0
198403,>100F,0
198404,30-39F,0
198404,40-49F,0
198404,50-59F,2
198404,60-69F,22
198404,70-79F,5
198404,80-89F,1
198404,90-99F,0
198404,>100F,0
198405,30-39F,0
198405,40-49F,0
198405,50-59F,0
198405,60-69F,8
198405,70-79F,13
198405,80-89F,8
198405,90-99F,2
198405,>100F,0
198406,30-39F,0
